,Company (Maker-if known),Specific Bean Origin or Bar Name,REF,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin
275,Domori,"IL100, H. San Jose",1109,2013,1.0,Italy,3.0,Criollo,Venezuela
276,Domori,Guasare,863,2012,0.7,Italy,3.75,Criollo,Venezuela
277,Domori,"Canoabo, Hacienda San Jose",693,2011,0.7,Italy,3.5,Criollo,Venezuela
278,Domori,"Chuao, Hacienda San Jose",470,2010,0.7,Italy,3.0,Trinitario,Venezuela
279,Domori,"Carupano, H. San Jose",227,2008,0.7,Italy,3.0,Trinitario,Venezuela
280,Domori,Porcelana,111,2007,0.7,Italy,4.0,Criollo (Porcelana),Venezuela
281,Domori,"Ocumare 61, Puertomar",129,2007,0.75,Italy,3.25,Criollo (Ocumare 61),Venezuela
282,Domori,Granella,135,2007,0.6,Italy,3.25,Trinitario,Venezuela
283,Domori,Madagascar,135,2007,0.7,Italy,3.5,Trinitario,Madagascar
284,Domori,Madagared,192,2007,0.7,Italy,3.5,Criollo,Madagascar
285,Domori,"Java, Javablond",192,2007,0.7,Italy,3.75,Criollo,Indonesia
286,Domori,Ecuador,192,2007,0.7,Italy,4.0,Forastero (Arriba),Ecuador
287,Domori,"Ocumare 67, Puertofino",192,2007,0.7,Italy,4.0,Criollo (Ocumare 67),Venezuela
288,Domori,Sur del Lago Classificado,87,2006,0.7,Italy,3.0,Trinitario,Venezuela
289,Domori,Apurimac,87,2006,0.7,Italy,3.25,Trinitario,Peru
290,Domori,Carenero Superior,87,2006,0.7,Italy,3.5,Trinitario,Venezuela
291,Dormouse,Non Pariel Estate,1880,2016,0.75,U.K.,2.75,Trinitario,Grenada
292,Dormouse,"Rio Caribe, Batch 7",1672,2015,0.7,U.K.,2.5,Trinitario,Venezuela
293,Dormouse,"Colombia, Batch 9",1676,2015,0.8,U.K.,2.75,"Criollo, Trinitario",Colombia
294,Dormouse,"Madagascar, Batch 8",1676,2015,0.77,U.K.,2.75,"Criollo, Trinitario",Madagascar
295,Duffy's,"Rio Dulce, Xoco",1662,2015,0.7,U.K.,4.0,Criollo,Guatemala
296,Duffy's,"Chuno, Xoco",1331,2014,0.7,U.K.,3.5,Criollo,Nicaragua
297,Duffy's,"Rico Rugoso, Xoco",1331,2014,0.76,U.K.,3.75,Criollo,Nicaragua
298,Duffy's,"Indio Rojo, Xoco",623,2011,0.72,U.K.,3.75,Criollo,Honduras
299,Duffy's,"Nicaliso, Xoco",697,2011,0.71,U.K.,3.25,Criollo,Nicaragua
300,Durand,Madagascar,841,2012,0.82,France,2.75,Trinitario,Madagascar
301,Durci,"Maranon, Joya Rara",1626,2015,0.7,U.S.A.,3.5,Forastero (Nacional),Peru
302,Durci,"Rio Caribe, Tepui Treasure",1626,2015,0.7,U.S.A.,3.5,Trinitario,Venezuela
303,Durci,"Carenero, Empyrean Sabor",1630,2015,0.7,U.S.A.,3.25,Trinitario,Venezuela
304,East Van Roasters,Madagascar,1343,2014,0.7,Canada,3.5,Trinitario,Madagascar
305,Eclat (Felchlin),"Maranon, Good & Evil, w/ nibs",919,2012,0.72,U.S.A.,2.75,Forastero (Nacional),Peru
306,Edelmond,Porcelana,1876,2016,0.68,Germany,3.0,Criollo,Venezuela
307,El Rey,"Rio Caribe, Cariaco",439,2009,0.605,Venezuela,2.75,Trinitario,Venezuela
308,El Rey,"Rio Caribe, Macuro",439,2009,0.7,Venezuela,3.0,Trinitario,Venezuela
309,El Rey,"Carenero Superior, Apamate",206,2008,0.74,Venezuela,2.5,Criollo,Venezuela
310,El Rey,"Carenero Superior, Bucare",206,2008,0.58,Venezuela,2.5,Criollo,Venezuela
311,El Rey,"Carenero Superior, Mijao",206,2008,0.61,Venezuela,3.0,Criollo,Venezuela
312,El Rey,"Carenero Superior, Gran Saman",32,2006,0.7,Venezuela,2.75,Criollo,Venezuela
313,Emily's,Peru,1454,2015,0.78,Japan,3.5,Criollo,Peru
314,Enric Rovira (Claudio Corallo),Terreiro Velho P.,565,2010,0.8,Spain,3.25,Forastero,Sao Tome & Principe
315,Erithaj (A. Morin),Ben Tre,1205,2014,0.7,France,3.25,Trinitario,Vietnam
316,Erithaj (A. Morin),Ham Luong,1209,2014,0.8,France,3.0,Trinitario,Vietnam
317,Erithaj (A. Morin),Ba Lai,1209,2014,0.74,France,3.25,Trinitario,Vietnam
318,Escazu,Rio Caribe,903,2012,0.7,U.S.A.,2.75,Trinitario,Venezuela
319,Escazu,Carenero Superior,423,2009,0.81,U.S.A.,3.5,Criollo,Venezuela
320,Escazu,Ocumare,252,2008,0.72,U.S.A.,3.0,Criollo,Venezuela
321,Ethel's Artisan (Mars),Trinidad,666,2011,0.55,U.S.A.,2.5,Trinitario,Trinidad
322,Ethel's Artisan (Mars),Porcelana,666,2011,0.7,U.S.A.,2.5,Criollo (Porcelana),Venezuela
323,Ethereal,Belize,1275,2014,0.8,U.S.A.,3.0,Trinitario,Belize
324,Feitoria Cacao,Maya Mountain,1736,2016,0.76,Portugal,2.75,Trinitario,Belize
325,Felchlin,Grenada,494,2010,0.58,Switzerland,3.5,Trinitario,Grenada
326,Felchlin,Elvesia P.,105,2006,0.74,Switzerland,3.0,"Trinitario, Criollo",Dominican Republic
327,Felchlin,"Madagascar, Grand Cru",48,2006,0.64,Switzerland,3.0,Criollo,Madagascar
328,Felchlin,Maracaibo Clasificado,48,2006,0.65,Switzerland,3.0,Criollo,Venezuela
329,Felchlin,Arriba,48,2006,0.72,Switzerland,3.5,Forastero (Arriba),Ecuador
330,Felchlin,"Alto Beni, Cru Savage",56,2006,0.68,Switzerland,4.0,Criollo (Wild),Bolivia
331,Forever Cacao,Rio Eni,1267,2014,0.72,U.K.,2.75,Criollo,Peru
332,Fossa,"Kokoa Kamili Coop, Kilombero",1776,2016,0.67,Singapore,3.75,Trinitario,Tanzania
333,Frederic Blondeel,Vietnam,1542,2015,0.8,Belgium,3.0,Trinitario,Vietnam
334,Frederic Blondeel,Ghana,1351,2014,0.6,Belgium,3.5,Forastero,Ghana
335,Frederic Blondeel,Madagascar,1351,2014,0.65,Belgium,3.5,Trinitario,Madagascar
336,French Broad,Tumbes Coop,883,2012,0.7,U.S.A.,2.5,Criollo,Peru
337,French Broad,"Maranon Canyon, Fortunato No. 4",781,2011,0.7,U.S.A.,3.5,Forastero (Nacional),Peru
338,Fresco,"Maranon, #228, MR, SC",1383,2014,0.7,U.S.A.,3.0,Forastero (Nacional),Peru
339,Fresco,"Maranon, #227, LR, MC",1383,2014,0.7,U.S.A.,3.5,Forastero (Nacional),Peru
340,Fresco,"Maranon, #229, MR, LC",1383,2014,0.7,U.S.A.,3.5,Forastero (Nacional),Peru
341,Fresco,"Maranon, #230, DR, LC",1387,2014,0.7,U.S.A.,3.5,Forastero (Nacional),Peru
342,Fresco,"Bellavista Coop, #225, LR, MC, CG Exclusive",1149,2013,0.7,U.S.A.,4.0,Trinitario,Peru
343,Fresco,"Sambirano Valley, #216, MR, LC",915,2012,0.74,U.S.A.,4.0,Trinitario,Madagascar
344,Fresco,"Markham Valley, #220, MR, MC",927,2012,0.69,U.S.A.,4.0,Trinitario,Papua New Guinea
345,Fresco,"Markham Valley, #222, LR, 0C",931,2012,0.69,U.S.A.,3.0,Trinitario,Papua New Guinea
346,Fresco,"Ghana, #211, MR, MC",636,2011,0.74,U.S.A.,2.75,Forastero,Ghana
347,Fresco,"Jamaica, #209, DR, SC",642,2011,0.7,U.S.A.,3.25,Trinitario,Jamaica
348,Fresco,"Jamaica, #210, DR, MC",642,2011,0.7,U.S.A.,3.5,Trinitario,Jamaica
349,Fresco,"Sambirano Valley, #214, LR, MC",682,2011,0.74,U.S.A.,2.75,Trinitario,Madagascar
350,Fresco,"Sambirano Valley, #215, MR, MC",688,2011,0.74,U.S.A.,3.0,Trinitario,Madagascar
351,Fresco,"Chuao, #218, MR, MC",745,2011,0.76,U.S.A.,3.25,Trinitario,Venezuela
352,Fresco,"Chuao, #217, DR, MC",745,2011,0.7,U.S.A.,4.0,Trinitario,Venezuela
353,Fresco,"Jamaica, #204, DR, SC",370,2009,0.8,U.S.A.,2.75,Trinitario,Jamaica
354,Fresco,"Jamaica, #206, DR, LC",370,2009,0.7,U.S.A.,3.0,Trinitario,Jamaica
355,Fresco,"Jamaica, #205, DR, MC",370,2009,0.7,U.S.A.,3.25,Trinitario,Jamaica
356,Fresco,"Carenero Superior, #203, MR, SC",370,2009,0.65,U.S.A.,3.5,Criollo,Venezuela
357,Friis Holm (Bonnat),"Chuno, triple turned, Xoco",895,2012,0.7,Denmark,3.25,"Criollo, Trinitario",Nicaragua
358,Friis Holm (Bonnat),"Red Mayan, Xoco",899,2012,0.7,Denmark,3.25,"Criollo, Trinitario",Honduras
359,Friis Holm (Bonnat),"Chuno, double turned, Xoco",899,2012,0.7,Denmark,3.25,"Criollo, Trinitario",Nicaragua
360,Friis Holm (Bonnat),"Johe, Xoco",623,2011,0.7,Denmark,3.25,"Criollo, Trinitario",Nicaragua
361,Friis Holm (Bonnat),"Chuno, Xoco",623,2011,0.7,Denmark,3.5,"Criollo, Trinitario",Nicaragua
362,Friis Holm (Bonnat),"Nicaliso, Xoco",623,2011,0.7,Denmark,3.5,"Criollo, Trinitario",Nicaragua
363,Fruition,"Wild Bolivian, Batch 2",1780,2016,0.74,U.S.A.,3.75,Beniano,Bolivia
364,Fruition,"Coto Brus, Heirloom, Batch 1",1780,2016,0.74,U.S.A.,4.0,Amazon mix,Costa Rica
365,Fruition,Gran Couva,1347,2014,0.7,U.S.A.,3.75,Trinitario,Trinidad
366,Fruition,Maranon,1359,2014,0.76,U.S.A.,3.0,Forastero (Nacional),Peru
367,Fruition,Signature Blend,753,2011,0.66,U.S.A.,3.25,Trinitario,Costa Rica
368,Garden Island,"Kaua'I, Alea Estate +world",1367,2014,0.85,U.S.A.,2.5,Blend,Hawaii
369,Georgia Ramon,Akesson P.,1642,2015,0.65,Germany,3.25,Trinitario,Madagascar
370,Georgia Ramon,ABOCFA Coop,1642,2015,0.7,Germany,4.0,Forastero,Ghana
371,Georgia Ramon,Conacado Coop,1646,2015,0.7,Germany,3.5,Trinitario,Domincan Republic
372,Georgia Ramon,Conacado Coop,1646,2015,0.8,Germany,3.5,Trinitario,Domincan Republic
373,Georgia Ramon,Akesson P.,1646,2015,0.75,Germany,3.5,Trinitario,Madagascar
374,Glennmade,Bahia,1672,2015,0.66,U.S.A.,3.0,"Trinitario, Forastero",Brazil
375,Grand Place,"Ben Tre, Dong Nai",741,2011,0.72,Vietnam,3.0,Trinitario,Vietnam
376,Grenada Chocolate Co.,Grenada,494,2010,0.82,Grenada,3.25,Trinitario,Grenada
377,Grenada Chocolate Co.,Grenada,363,2009,0.6,Grenada,2.75,Trinitario,Grenada
378,Grenada Chocolate Co.,Grenada,241,2008,0.71,Grenada,2.5,Trinitario,Grenada
379,Guido Castagna,Arriba,355,2009,0.64,Italy,3.0,Forastero (Arriba) ASS,Ecuador
380,Guido Castagna,Ghana,355,2009,0.64,Italy,3.0,Forastero,Ghana
381,Guittard,Jamaica,1053,2013,0.65,U.S.A.,3.25,Trinitario,Jamaica
382,Guittard,Trinidad,552,2010,0.65,U.S.A.,3.0,Trinitario,Trinidad
383,Guittard,Chucuri,15,2006,0.65,U.S.A.,3.0,Trinitario,Colombia
384,Guittard,Sur del Lago,87,2006,0.65,U.S.A.,2.5,"Trinitario, Criollo",Venezuela
385,Guittard,"Sambirano, Ambanja",87,2006,0.65,U.S.A.,3.5,"Criollo, +",Madagascar
386,Guittard,"Los Rios, Quevedo",93,2006,0.65,U.S.A.,3.5,Forastero (Arriba),Ecuador
387,Hachez,Arriba,166,2007,0.77,Germany,2.5,Forastero (Arriba),Ecuador
388,Hacienda El Castillo,Don Homero- Cerecita Valley,1327,2014,0.55,Ecuador,2.75,Trinitario,Ecuador
389,Hacienda El Castillo,Don Homero- Cerecita Valley,1327,2014,0.7,Ecuador,3.0,Trinitario,Ecuador
390,Heirloom Cacao Preservation (Brasstown),"Maya Mtn, Moho R., Toledo D., 2015",1748,2016,0.7,U.S.A.,3.25,Amazon,Belize
391,Heirloom Cacao Preservation (Fruition),"Cota Brus, Terciopelo, 2015",1748,2016,0.74,U.S.A.,3.5,Amazon mix,Costa Rica
392,Heirloom Cacao Preservation (Guittard),"Alto Beni, Upper Rio Beni, 2014",1239,2014,0.67,U.S.A.,3.5,"Amazon, ICS",Bolivia
393,Heirloom Cacao Preservation (Guittard),"Wild Beni, Lower Rio Beni, Tranquilidad, 2014",1243,2014,0.67,U.S.A.,3.0,Beniano,Bolivia
394,Heirloom Cacao Preservation (Guittard),"Los Rios, Hacienda Limon, Orecao, 2014",1243,2014,0.67,U.S.A.,3.75,EET,Ecuador
395,Heirloom Cacao Preservation (Millcreek),"Los Rios, Hacienda Limon, Orecao, 2015",1744,2016,0.7,U.S.A.,3.5,EET,Ecuador
396,Heirloom Cacao Preservation (Mindo),"Pinchincha, Mindo, Coop Nueva Esper., 2015",1748,2016,0.77,U.S.A.,3.5,EET,Ecuador
397,Heirloom Cacao Preservation (Zokoko),"Alto Beni, Upper Rio Beni, 2015",1744,2016,0.68,U.S.A.,3.75,"Amazon, ICS",Bolivia
398,Heirloom Cacao Preservation (Zokoko),"Wild Beni, Lower Rio Beni, Tranquilidad, 2015",1744,2016,0.72,U.S.A.,4.0,Beniano,Bolivia
399,hello cocoa,Uganda,1458,2015,0.57,U.S.A.,2.75,Forastero,Uganda
400,hello cocoa,Venezuela,1462,2015,0.74,U.S.A.,3.5,Criollo,Venezuela
401,hexx,Madagascar,1546,2015,0.74,U.S.A.,3.0,Trinitario,Madagascar
402,Hogarth,Akesson's Estate,1712,2016,0.7,New Zealand,2.75,Trinitario,Madagascar
403,Hogarth,Carenero Superior,1712,2016,0.72,New Zealand,2.75,Trinitario,Venezuela
404,Hogarth,Conacado,1712,2016,0.75,New Zealand,3.25,Trinitario,Domincan Republic
405,Hogarth,Gran Blanco,1712,2016,0.66,New Zealand,3.5,Criollo,Peru
406,Hoja Verde (Tulicorp),Arriba,414,2009,0.8,Ecuador,2.0,Forastero (Arriba) ASS,Ecuador
407,Hoja Verde (Tulicorp),Manabi,414,2009,0.8,Ecuador,2.5,Forastero (Arriba) ASS,Ecuador
408,Hoja Verde (Tulicorp),Arriba,414,2009,0.72,Ecuador,3.0,Forastero (Arriba) ASS,Ecuador
409,Hoja Verde (Tulicorp),Arriba,414,2009,0.58,Ecuador,3.25,Forastero (Arriba) ASS,Ecuador
410,Hoja Verde (Tulicorp),Manabi,414,2009,0.58,Ecuador,3.5,Forastero (Arriba) ASS,Ecuador
411,Holy Cacao,Sambirano,1466,2015,0.7,Israel,3.5,Trinitario,Madagascar
412,Holy Cacao,Gran Couva,1466,2015,0.7,Israel,3.5,Trinitario,Trinidad
413,Hotel Chocolat,"Marcial, single Cote, 2012",1030,2013,0.7,U.K.,4.0,Trinitario,St. Lucia
414,Hotel Chocolat,"Island Growers, 2012, 120hr c.",1113,2013,1.0,U.K.,1.75,Trinitario,St. Lucia
415,Hotel Chocolat (Coppeneur),Trinidad,1038,2013,0.75,U.K.,3.0,Trinitario,Trinidad
416,Hotel Chocolat (Coppeneur),Mekong Delta & Dong Nai,1038,2013,0.8,U.K.,3.5,Trinitario,Vietnam
417,Hotel Chocolat (Coppeneur),"Los Rios, H. Iara",1065,2013,0.9,U.K.,3.0,Forastero (Nacional),Ecuador
418,Hotel Chocolat (Coppeneur),"Somia Plantation, Akesson, 2012",1065,2013,0.72,U.K.,3.0,Trinitario,Madagascar
419,Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 2012",1065,2013,0.82,U.K.,3.5,Forastero (Nacional),Ecuador
420,Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 2012, 120hr c.",1113,2013,1.0,U.K.,2.5,Forastero (Nacional),Ecuador
421,Hotel Chocolat (Coppeneur),Sambirano,809,2012,0.66,U.K.,3.5,"Trinitario, Criollo",Madagascar
422,Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 96hr c.",623,2011,0.8,U.K.,3.0,Forastero (Nacional),Ecuador
423,Hotel Chocolat (Coppeneur),"Island Growers, 120hr c.",623,2011,0.65,U.K.,3.0,Trinitario,St. Lucia
424,Hotel Chocolat (Coppeneur),"Island Growers, 96hr c.",623,2011,0.65,U.K.,3.25,Trinitario,St. Lucia
425,Hotel Chocolat (Coppeneur),Chuao,600,2010,0.7,U.K.,2.75,Trinitario,Venezuela
426,Hotel Chocolat (Coppeneur),Uganda,296,2008,0.8,U.K.,2.5,Forastero,Uganda
427,Hotel Chocolat (Coppeneur),Uba Budo,300,2008,0.72,U.K.,3.0,Forastero,Sao Tome
428,Hummingbird,Lam Dong,1542,2015,0.7,Canada,3.5,Trinitario,Vietnam
429,Hummingbird,Bolivia,1307,2014,0.7,Canada,3.0,"Criollo, Trinitario",Bolivia
430,Hummingbird,"Bolivia, Bo-nib-ia, w/ nibs",1311,2014,0.7,Canada,3.0,"Criollo, Trinitario",Bolivia
431,Hummingbird,Momotombo,1311,2014,0.7,Canada,3.0,Trinitario,Nicaragua
432,Hummingbird,Hispaniola,1311,2014,0.7,Canada,3.75,Trinitario,Dominican Republic
433,Hummingbird,"Ocumare, Cumboto",1097,2013,0.7,Canada,3.25,"Trinitario, Criollo",Venezuela
434,Hummingbird,Amazonas,1097,2013,0.7,Canada,3.75,Forastero,Venezuela
435,Idilio (Felchlin),"Chuao, Venezuela",1085,2013,0.72,Switzerland,3.75,Trinitario,Venezuela
436,Idilio (Felchlin),Coopertiva Amazona,725,2011,0.72,Switzerland,3.75,Criollo,Venezuela
437,Idilio (Felchlin),"Choroni, Finca Torres, 48hr c.",729,2011,0.72,Switzerland,3.25,Criollo,Venezuela
438,Idilio (Felchlin),"Ocumare, H. Cata, 48hr c.",733,2011,0.72,Switzerland,3.75,Criollo,Venezuela
439,Idilio (Felchlin),"Porcelana, Zulia",733,2011,0.74,Switzerland,4.0,Criollo,Venezuela
440,Idilio (Felchlin),"Ocumare, H. Cata, w/ nibs",737,2011,0.72,Switzerland,3.5,Criollo,Venezuela
441,Idilio (Felchlin),"Carenero Superior, Urrutia, Barlovento",737,2011,0.7,Switzerland,4.0,Trinitario,Venezuela
442,Idilio (Felchlin),Coopertiva Amazona w/ nibs,737,2011,0.72,Switzerland,4.0,Criollo,Venezuela
443,iQ Chocolate,"Satipo region, white label",943,2012,0.72,Scotland,2.75,Criollo,Peru
444,Isidro,Madagascar,1275,2014,0.72,U.S.A.,3.5,Trinitario,Madagascar
445,Isidro,Belize,1279,2014,0.72,U.S.A.,3.25,Trinitario,Belize
446,Izard,"Maya Mountain, Toledo, Batch 29",1542,2015,0.7,U.S.A.,3.5,Trinitario,Belize
447,Jacque Torres,Trinatario Treasure,5,2006,0.71,U.S.A.,2.0,Trinitario,Ghana
448,Jordis,Madagascar,1534,2015,0.63,Czech Republic,2.75,Trinitario,Madagascar
449,Just Good Chocolate,Belize,1375,2014,0.7,U.S.A.,3.5,Trinitario,Belize
450,Just Good Chocolate,Madagascar,1375,2014,0.7,U.S.A.,3.5,Trinitario,Madagascar
451,Kakao,Vanuatu,387,2009,0.65,Germany,3.75,Trinitario,Vanuatu
452,Kiskadee,"La Red, Guanconjeco",1251,2014,0.6,U.S.A.,3.0,Trinitario,Dominican Republic
453,Kto,Belize,1422,2014,0.72,U.S.A.,3.0,Trinitario,Belize
454,Kto,Sambirano Valley,1422,2014,0.72,U.S.A.,3.25,Trinitario,Madagascar
455,Kto,Belize,1426,2014,0.9,U.S.A.,3.25,Trinitario,Belize
456,K'ul,"Maranon, Fortunato No. 4",1852,2016,0.7,U.S.A.,2.75,Forastero (Nacional),Peru
457,K'ul,"Bahia, Fazenda Camboa",1852,2016,0.7,U.S.A.,3.75,Forastero,Brazil
458,Kyya,Uganda,1359,2014,0.725,U.S.A.,2.5,Forastero,Uganda
459,Kyya,Madagascar,1363,2014,0.725,U.S.A.,3.0,Trinitario,Madagascar
460,L.A. Burdick (Felchlin),Chuao,927,2012,0.68,U.S.A.,3.75,Trinitario,Venezuela
461,L.A. Burdick (Felchlin),Grenada,576,2010,0.75,U.S.A.,3.25,Trinitario,Grenada
462,L.A. Burdick (Felchlin),Madagascar,431,2009,0.64,U.S.A.,3.5,Trinitario,Madagascar
463,La Chocolaterie Nanairo,"Lumas, 2015 Harvest, Batch 6, brown sugar",1892,2016,0.7,Japan,2.25,"Trinitario, Criollo",Peru
464,La Chocolaterie Nanairo,"Lumas, 2015 Harvest, Batch 7",1892,2016,0.7,Japan,2.5,"Trinitario, Criollo",Peru
465,La Chocolaterie Nanairo,"Tumbes, 2013 Harvest, Batch 8",1892,2016,0.7,Japan,3.0,Criollo,Peru
466,La Chocolaterie Nanairo,"Belize, 2014 Harvest, Batch 9",1892,2016,0.7,Japan,3.0,"Trinitario, Criollo",Belize
467,La Maison du Chocolat (Valrhona),Grenada,741,2011,0.68,France,3.5,Trinitario,Grenada
468,La Maison du Chocolat (Valrhona),Akosombo,346,2009,0.68,France,3.25,Forastero,Ghana
469,La Maison du Chocolat (Valrhona),"Porcelana, Pariguan",346,2009,0.69,France,3.5,Criollo (Porcelana),Venezuela
470,La Maison du Chocolat (Valrhona),"Cuana, 2008",230,2008,0.74,France,3.5,Blend,"Ven., Indonesia, Ecuad."
471,Laia aka Chat-Noir,"Madagascar, Batch 59/100",1590,2015,0.75,France,2.75,Trinitario,Madagascar
472,Laia aka Chat-Noir,"Vietnam, Batch 50/100",1590,2015,0.75,France,2.75,Trinitario,Vietnam
473,Laia aka Chat-Noir,"Sao Tome, Batch 151",1638,2015,0.75,France,3.5,Forastero,Sao Tome
474,Laia aka Chat-Noir,"Lam Dong, Batch 153",1642,2015,0.75,France,3.75,Trinitario,Vietnam
475,Lajedo do Ouro,Catongo,927,2012,0.7,Brazil,3.5,Forastero (Catongo),Brazil
476,L'Amourette,Rugoso,1784,2016,0.8,U.S.A.,3.5,Trinitario,Nicaragua
477,L'Amourette,Carenero Superior,833,2012,0.75,U.S.A.,3.0,Trinitario,Venezuela
478,L'Amourette,Rio Caribe,833,2012,0.75,U.S.A.,3.0,Trinitario,Venezuela
479,L'Amourette,Blend,853,2012,0.72,U.S.A.,3.0,Criollo,"Peru, Ecuador, Venezuela"
480,Letterpress,"San Juan Estate, Gran Couva",1562,2015,0.7,U.S.A.,3.5,Trinitario,Trinidad
481,Letterpress,Maranura,1371,2014,0.7,U.S.A.,3.5,Forastero (Nacional),Peru
482,Levy,Sambirano,1231,2014,0.71,Finland,3.5,Criollo,Madagascar
483,Lilla,Madagascar,1856,2016,0.7,Finland,3.0,Trinitario,Madagascar
484,Lillie Belle,Perfect Illusion,855,2012,0.65,U.S.A.,3.5,Criollo,Peru
485,Lillie Belle,"Bolivia, Wild Thing",903,2012,0.68,U.S.A.,3.5,Criollo,Bolivia
486,Lillie Belle,Wild Thing,947,2012,0.68,U.S.A.,3.5,Criollo,Bolivia
487,Madecasse (Cinagra),Madagascar,284,2008,0.67,Madagascar,3.5,Trinitario,Madagascar
488,Madecasse (Cinagra),Madagascar,284,2008,0.7,Madagascar,3.75,Trinitario,Madagascar
489,Madecasse (Cinagra),Madagascar,284,2008,0.63,Madagascar,4.0,Trinitario,Madagascar
490,Madecasse (Cinagra),Madagascar,288,2008,0.75,Madagascar,3.5,Trinitario,Madagascar
491,Madre,"Criollo, Hawaii",995,2012,0.7,U.S.A.,3.25,Criollo,Hawaii
492,Maglio,Ecuador,308,2008,0.7,Italy,3.0,Forastero (Nacional),Ecuador
493,Maglio,Cuba,308,2008,0.7,Italy,3.25,Criollo,Cuba
494,Maglio,Santo Domingo,308,2008,0.7,Italy,3.75,"Blend-Forastero,Criollo",Dominican Republic
495,Malagasy (Chocolaterie Robert),Sambirano 2006,184,2007,0.75,Madagascar,2.75,Trinitario,Madagascar
496,Malagasy (Chocolaterie Robert),Mora Mora 2006,184,2007,0.73,Madagascar,3.5,Trinitario,Madagascar
497,Malagos,"Davao, Mt. Talamo foothills",1121,2013,0.65,Philippines,3.5,Trinitario,Philippines
498,Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate",311,2009,0.55,U.S.A.,2.75,Blend,Hawaii
499,Manufaktura Czekolady,Porcelana,1255,2014,0.7,Poland,3.75,Criollo,Venezuela
500,Manufaktura Czekolady,Grand Cru Ghana,871,2012,0.7,Poland,3.5,Forastero,Ghana
501,Map Chocolate,"Ben Tre, Surprise Valley",1896,2016,0.75,U.S.A.,3.25,Trinitario,Vietnam
502,Map Chocolate,"ROIG, 2014",1474,2015,0.7,U.S.A.,3.5,"Criollo, Trinitario",Dominican Republic
503,Map Chocolate,"Maranon, 2014",1474,2015,0.62,U.S.A.,3.5,Forastero (Nacional),Peru
504,Map Chocolate,Ecuador,1478,2015,0.7,U.S.A.,3.5,Trinitario,Ecuador
505,Map Chocolate,"San Juan Estate, Cherry Blossoms at Night",1606,2015,0.7,U.S.A.,2.75,Trinitario,Trinidad
506,Map Chocolate,"Tumbes, Dear Mr. Finley, 2014",1606,2015,0.68,U.S.A.,3.5,Criollo,Peru
507,Marou,"Tan Phu Dong Island, Heart of Darkness",1650,2015,0.85,Vietnam,3.25,Trinitario,Vietnam
508,Marou,Ben Tre,1650,2015,0.68,Vietnam,3.5,Trinitario,Vietnam
509,Marou,"Dak Lak, Batch 2451",1650,2015,0.7,Vietnam,3.75,Trinitario,Vietnam
510,Marou,"Tan Phu Dong, Treasure Island",1149,2013,0.75,Vietnam,3.5,Trinitario,Vietnam
511,Marou,Ba Ria,845,2012,0.76,Vietnam,3.5,Trinitario,Vietnam
512,Marou,Dong Nai,845,2012,0.72,Vietnam,3.5,Trinitario,Vietnam
513,Marou,"Tien Giang, Gao Co-op",845,2012,0.7,Vietnam,3.5,Trinitario,Vietnam
514,Marou,Ben Tre,849,2012,0.78,Vietnam,3.5,Trinitario,Vietnam
515,Marou,Tien Giang,895,2012,0.8,Vietnam,3.0,Trinitario,Vietnam
516,Marou,Lam Dong,955,2012,0.74,Vietnam,3.5,Trinitario,Vietnam
517,Mars,"Ghana, prototype",544,2010,0.65,U.S.A.,3.5,Forastero,Ghana
518,Mast Brothers,French Laundry 20th Anniversary,1359,2014,0.75,U.S.A.,3.75,Blend,"Peru, Belize"
519,Mast Brothers,Shake Shack,959,2012,0.73,U.S.A.,3.5,Blend,"Peru, Mad., Dom. Rep."
520,Mast Brothers,Chuao,999,2012,0.73,U.S.A.,2.75,Trinitario,Venezuela
521,Mast Brothers,"Chuao, Med. Roast",701,2011,0.76,U.S.A.,3.0,Trinitario,Venezuela
522,Mast Brothers,"Chuao, Dark Roast",709,2011,0.7,U.S.A.,3.0,Trinitario,Venezuela
523,Mast Brothers,"Chuao, Light Roast",713,2011,0.81,U.S.A.,2.75,Trinitario,Venezuela
524,Mast Brothers,Moho River,773,2011,0.7,U.S.A.,3.5,Trinitario,Belize
525,Mast Brothers,Patanemo,572,2010,0.81,U.S.A.,2.75,Criollo,Venezuela
526,Matale,"Malekula P., 2013",1177,2013,0.72,Australia,3.5,Trinitario,Vanuatu
527,Matale,"Somia, 2013",1177,2013,0.68,Australia,4.0,Trinitario,Madagascar
528,Matale,"Kulili P., 2013",1177,2013,0.74,Australia,4.0,Trinitario,Papua New Guinea
529,Matale,Blend,1181,2013,0.7,Australia,3.75,Trinitario,"PNG, Vanuatu, Mad"
530,Maverick,Maya Mountain,1367,2014,0.7,U.S.A.,3.25,Trinitario,Belize
531,Maverick,Tumbes,1430,2014,0.82,U.S.A.,3.25,Criollo,Peru
532,Maverick,"Morropon, Norandiono Coop, Piura",1430,2014,0.63,U.S.A.,3.5,Criollo,Peru
533,Meadowlands,Belize,1287,2014,0.7,U.S.A.,3.0,Trinitario,Belize
